genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Brevibacterium salitolerans,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,15,34,50,2738125,70.70915357673077,3873767,RS_GCF_039531405.1,3470176,89.5814332663787,SAMD00645285,none,none,none,TRUE,0,Brevibacterium salitolerans,none,2,59,3347,19,59,99.95,0.16
Brevibacterium sandarakinum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,4,27.5,36,2203728,63.8168335066987,3453208,RS_GCF_030453725.1,3116463,90.24834299005448,SAMN23026954,Spain: Asturias,dairy_non_food_contact_Producer_1,43.303882 N 4.815307 W,TRUE,0,Brevibacterium sandarakinum,none,0,43,3256,20,44,94.66,0.49
Brevibacterium sediminis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,8,26.5,37,2696247,64.60944222669367,4173147,RS_GCF_013623905.1,3756239,90.00974564279667,SAMN14819567,Indian Ocean: Southwest Indian Ridges,deep-sea sediments,none,TRUE,0,Brevibacterium sediminis,none,5,47,3691,19,47,100,0.41
Brevibacterium siliguriense,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,20,28,37,2582075,64.18309498200713,4023083,RS_GCF_900105315.1,3592130,89.28799132406664,SAMN04489752,none,none,none,TRUE,0,Brevibacterium siliguriense,3541,12,47,3600,19,47,99.99,0.11
Brevibacterium yomogidense,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,4,30,37,2250776,68.49535928950067,3286027,RS_GCF_900163715.1,2984226,90.8156262866982,SAMEA80387668,none,none,none,TRUE,0,Brevibacterium yomogidense,2829,3,47,2852,19,47,99.55,0.04
Brevifollis gellanilyticus,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,10,28,37,4583339,59.9258297832226,7648353,RS_GCF_007992435.1,6926115,90.55694735847052,SAMD00172670,none,none,none,TRUE,1,Brevifollis gellanilyticus,none,3,57,5831,19,57,99.93,0.97
Brevirhabdus pacifica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Brevirhabdus,10,32.5,40,2281763,66.62904644865628,3424577,RS_GCF_002797755.1,3081108,89.97046934555713,SAMN07620883,none,none,none,TRUE,0,Brevirhabdus pacifica,3188,6,48,3217,19,47,99.99,0.25
Brevundimonas albigilva,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,4,29,40,2226795,69.27538801832995,3214510,RS_GCF_023503965.1,2809257,87.39300857673487,SAMN27409694,South Korea: Kyonggi University in Suwon,forest soil,none,TRUE,0,Brevundimonas albigilva,none,6,49,3478,19,51,89.04,1.61
Brevundimonas aveniformis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,15,30,35,1605447,65.24069756006772,2460806,RS_GCF_937919975.1,2279634,92.63769675464056,SAMEA14082137,none,metagenome,none,FALSE,1,Brevundimonas aveniformis,none,3,39,2594,18,39,88.13,1.08
Brevundimonas basaltis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,10,30,42,1815093,68.54409973165322,2648066,RS_GCF_014202075.1,2392481,90.34823905446466,SAMN14908468,none,none,none,TRUE,1,Brevundimonas basaltis,none,3,43,2661,19,43,100,0.05
Brevundimonas denitrificans,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,8,25,30,2062535,68.47309741805195,3012183,RS_GCF_030160755.1,2742613,91.05067653592096,SAMD00576801,none,Deep seafloor sediment,none,TRUE,1,Brevundimonas denitrificans,none,6,48,3200,19,49,99.99,0.94
Brevundimonas faecalis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,20,33.5,37,2424447,67.50543786356837,3591484,RS_GCF_040549405.1,3256231,90.66533499801196,SAMN41513372,none,none,none,TRUE,1,Brevundimonas faecalis,none,3,45,3419,19,45,100,0.09
Brevundimonas halotolerans,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,10,30,40,1698593,66.92482962387429,2538061,RS_GCF_003730275.1,2315975,91.24977689661516,SAMN09770276,USA,marine,none,TRUE,0,Brevundimonas halotolerans,none,3,44,2547,19,44,100,0
Brevundimonas kwangchunensis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,10,30,36,2093629,67.75432600977985,3092051,RS_GCF_039523815.1,2818118,91.14073474208544,SAMD00645026,none,none,none,TRUE,1,Brevundimonas kwangchunensis,none,3,42,2997,19,42,100,0.04
Brevundimonas lenta,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,4,25,34,2310575,68.76312237831435,3360201,RS_GCF_014196335.1,3061469,91.109698497203,SAMN13173499,none,none,none,TRUE,1,Brevundimonas lenta,none,3,43,3233,19,44,100,0
Brevundimonas mediterranea,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,15,30,37,2285213,67.0350562132625,3409076,RS_GCF_014196125.1,3069594,90.0418177828831,SAMN13172971,none,none,none,TRUE,1,Brevundimonas mediterranea,none,3,49,3249,19,49,99.74,0.01
Brevundimonas naejangsanensis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,4,30,50,2006509,67.52432665272326,2971535,RS_GCF_000635915.2,2660801,89.5429803115225,SAMN02693465,China: Beijing,sludge of an anaerobic digestion reactor,none,TRUE,1,Brevundimonas naejangsanensis,2800,6,49,2798,19,49,100,0.04
Brevundimonas poindexterae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,20,25,40,1838345,67.75233099094802,2713331,RS_GCF_020524625.1,2493794,91.90894881604936,SAMN21557931,China: Shenzhen,sediment,22.651 N 114.515 E,TRUE,1,Brevundimonas poindexterae,none,3,43,2698,19,43,99.99,0
Brevundimonas terrae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,4,30,37,1788679,60.77323269011098,2943202,RS_GCF_011761985.1,2674904,90.88414590639718,SAMN12025163,none,none,none,TRUE,1,Brevundimonas terrae,none,3,49,2787,19,50,99.97,0.1
Brevundimonas viscosa,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,10,29,36,2109658,70.39631877684086,2996830,RS_GCF_900116065.1,2725431,90.94379727912494,SAMN05192570,none,none,none,TRUE,1,Brevundimonas viscosa,3056,3,43,3099,19,44,100,0
Breznakia blatticola,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Breznakia,15,22.5,40,840135,34.13462319806276,2461343,RS_GCF_004365815.1,2227080,90.4823098609174,SAMN10362949,none,none,none,TRUE,0,Breznakia blatticola,none,2,31,2307,19,31,97.18,0.57
Breznakia pachnodae,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Breznakia,15,25,40,1405567,32.67559826854319,4301580,RS_GCF_030814225.1,3921139,91.155784618675,SAMN18243579,none,none,none,TRUE,0,Breznakia pachnodae,none,3,33,4040,19,33,97.27,5.7
Brochothrix thermosphacta,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix,0,22.5,30,903265,36.38600061552046,2482452,RS_GCF_001715635.1,2116925,85.27556625465468,SAMN05567452,Australia: Victoria,aerobically stored lamb,37.814251 S 144.963169 E,FALSE,1,Brochothrix thermosphacta,2342,9,91,2379,19,91,99.8,0.07
Brockia lithotrophica,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Brockia,46,62.5,78,1086430,64.2935596959633,1689796,GB_GCA_003050565.1,1476928,87.40273973899808,SAMN07514367,Russia: Altay Mountains,Soil in an open quarry for the mining of brown coal; heated by underground coal combustion,none,TRUE,0,Brockia lithotrophica,1615,3,50,1544,19,52,97.07,0
Brooklawnia cerclae,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Brooklawnia,10,37,40,2572142,67.91037170691163,3787554,RS_GCF_011758645.1,3423357,90.3843747178258,SAMN11512389,none,none,none,TRUE,0,Brooklawnia cerclae,none,3,48,3481,19,48,98.49,0.27
Brucella ceti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,20,37,40,1925854,57.22426421429526,3365450,RS_GCF_002245555.1,2911493,86.51125406706385,SAMN07270939,Croatia: port of Porec,multiple lymph nodes from dolphin caught in fish net,45.2265 N 13.5933 E,FALSE,1,Brucella ceti,3390,5,52,3181,19,52,99.99,0.02
Brucella pinnipedialis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,20,37,40,1906723,57.24126088364887,3331029,RS_GCF_000740275.1,2876432,86.35265559080993,SAMN02781126,none,none,none,FALSE,1,Brucella pinnipedialis,3332,9,55,3137,19,55,100,0.58
Brumimicrobium aurantiacum,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Brumimicrobium,4,29,40,1159776,33.8788096192338,3423338,RS_GCF_003402975.1,3053325,89.19145582469508,SAMN09762457,China: Weihai,coastal sediment,none,TRUE,0,Brumimicrobium aurantiacum,none,5,35,2986,19,35,99.81,0.04
Brumimicrobium glaciale,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Brumimicrobium,-2,17.5,25,1443825,33.79910271701409,4271785,RS_GCF_004152935.1,3638568,85.17675866177721,SAMN10779751,Antarctica: Vestfold Hills,coastal sea-ice,68 S 78 E,TRUE,0,Brumimicrobium glaciale,none,7,35,3559,19,35,99.98,0.45
Brumimicrobium mesophilum,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Brumimicrobium,11,20,36,1304387,33.59391800828627,3882835,RS_GCF_003025005.1,3395688,87.453832058277,SAMN08646831,South Korea,a tidal flat sediment,none,TRUE,0,Brumimicrobium mesophilum,3393,3,35,3447,19,35,99.82,0.3
Bryobacter aggregatus,Bacteria,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Bryobacter,4,25,33,3330944,57.949687830169594,5747993,RS_GCF_000702445.1,5359199,93.23600428880133,SAMN02841143,none,none,none,TRUE,0,Bryobacter aggregatus MPL3,5011,6,51,5068,19,52,98.19,0.3
Bryocella elongata,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Bryocella,6,22,32,3515209,62.00183648574378,5669524,RS_GCF_900108185.1,5052845,89.12291402241176,SAMN05421819,none,none,none,TRUE,0,Bryocella elongata,4516,3,47,4549,19,47,98.88,1.27
Burkholderia agricolaris,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,22,30,37,5375334,61.63370185130403,8721420,RS_GCF_009455635.1,7564509,86.73483217182523,SAMN09651435,USA: Virginia,soil,38.0342 N 78.5129 W,TRUE,1,Paraburkholderia agricolaris,none,18,62,7735,19,64,99.99,2.36
Burkholderia alba,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,10,35,40,4858092,66.370414493013,7322157,RS_GCF_034721475.1,6222269,84.97863402819688,SAMN37776913,none,none,none,TRUE,1,Burkholderia alba,none,3,62,6503,19,63,100,1.89
Burkholderia alpina,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,5,25,35,4139093,61.74412877098381,6703622,RS_GCF_902859895.1,5692098,84.91078405077135,SAMEA6678268,none,Volcanic soil,none,TRUE,1,Pararobbsia alpina,none,4,49,6246,19,48,98.76,1.89
Burkholderia bonniea,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,22,30,30,2406657,58.72499073979633,4098182,RS_GCF_009455625.1,3507660,85.59063506696384,SAMN09651436,USA: Virginia,soil,38.0342 N 78.5129 W,TRUE,1,Paraburkholderia bonniea,none,12,56,3539,19,56,100,0.01
Burkholderia contaminans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,30,37,42,6209369,65.79912146597113,9436857,RS_GCF_029633825.1,8128309,86.13364597980026,SAMN24289055,Spain,milk,none,TRUE,1,Burkholderia contaminans,none,18,69,8659,19,69,100,1.52
Burkholderia dabaoshanensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Trinickia,5,30,40,4488227,63.274798646032906,7093230,RS_GCF_002879885.1,6280024,88.53546268766134,SAMN08277010,China: Dabaoshan Mine; Qujiang District; Shaoguan Prefecture; Guangdong Province,Soil,24.527 N 113.714 E,TRUE,0,Trinickia dabaoshanensis,6458,3,54,6437,19,54,100,1.76
Burkholderia hayleyella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,22,30,30,2444079,59.240347092614584,4125700,RS_GCF_009455685.1,3581079,86.79930678430327,SAMN09651434,USA: Virginia,soil,38.0342 N 78.5129 W,TRUE,0,Paraburkholderia hayleyella,none,12,57,3629,19,57,99.93,0.04
Burkholderia mallei,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,15,37,42,3913333,68.69987293448314,5696274,RS_GCF_028621615.1,4754576,83.46817586373128,SAMN32965087,none,none,39.56 N 116.20 E,FALSE,1,Burkholderia mallei,none,4,51,4938,19,52,100,0.01
Burkholderia novacaledonica,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,15,28,37,4292964,63.3444933504693,6777170,RS_GCF_900258035.1,5950246,87.79838782264574,SAMEA104457283,none,Plant roots,none,TRUE,1,Caballeronia novacaledonica,6300,3,54,6234,19,54,99.98,0.01
Burkholderia oklahomensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,25,37,42,4640236,66.97718056288282,6928085,RS_GCF_030482685.1,5819141,83.99349892502762,SAMN35982456,USA,throat,39.22 N 97.55 W,FALSE,1,Burkholderia oklahomensis,none,5,52,6020,19,52,100,0.28
Burkholderia plantarii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,4,33.5,38,5539791,68.55285284055255,8081051,RS_GCF_001411805.1,6869760,85.01072447135898,SAMN04210536,none,none,none,TRUE,1,Burkholderia plantarii,6798,15,62,6800,19,62,100,0.84
Butyricimonas faecalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,25,37,42,2167501,43.55540989088144,4976422,RS_GCF_003991565.1,4494726,90.32043504349107,SAMN10176434,Belgium:Brussels,stool,50.85 N 4.45 E,TRUE,0,Butyricimonas faecalis,none,15,57,4310,19,56,99.99,4.9
Butyrivibrio crossotus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,30,37,45,808174,45.40583968672222,1780294,GB_GCA_963624605.1,1611495,90.51847616180248,SAMEA114588106,none,none,none,TRUE,none,Eshraghiella crossota,none,none,none,1701,17,35,99.92,0.08
Butyrivibrio fibrisolvens,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,30,37,45,1777213,39.909837482905054,4453070,RS_GCF_023206215.1,3791768,85.14952605730429,SAMN17020243,USA: California,rumen,none,TRUE,0,Butyrivibrio fibrisolvens,none,21,67,3729,19,66,99.94,0.06
Byssovorax cruenta,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Byssovorax,26,30,38,3985432,66.5646397857068,5987311,GB_GCA_001312805.1,4956530,82.78390750037872,SAMD00016808,none,none,none,TRUE,none,Byssovorax cruenta JCM 12614,0,none,none,10331,14,27,57.47,0.77
Caballeronia arationis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,28,5887394,62.78217429754414,9377494,RS_GCF_001544975.2,7910683,84.35817714199551,SAMEA3731268,none,soil,none,TRUE,1,Caballeronia arationis,8813,3,55,8945,19,56,100,2.7
Caballeronia arvi,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,6033135,62.41755697375666,9665767,RS_GCF_001544695.2,8334494,86.22692849931103,SAMEA3731261,none,soil,none,TRUE,1,Caballeronia arvi,9013,5,57,9044,19,58,99.95,5.35
Caballeronia calidae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,6007589,62.5159305297266,9609693,RS_GCF_900044055.2,8179209,85.11415505157137,SAMEA3731265,none,water,none,TRUE,1,Caballeronia calidae,8847,3,61,8891,19,61,99.84,2.18
Caballeronia catudaia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,4851418,62.7874419887422,7726733,RS_GCF_001544755.2,6688887,86.56811358694547,SAMEA3731262,none,soil,none,TRUE,1,Caballeronia catudaia,7283,3,58,7245,19,59,99.6,0.09
Caballeronia concitans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,3898219,63.219443638523806,6166171,RS_GCF_001544615.1,5384400,87.3216133642742,SAMEA3731259,none,human,none,TRUE,1,Caballeronia concitans,5615,3,54,5626,19,54,99.98,0.12
Caballeronia fortuita,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,4629582,62.895007478796494,7360810,RS_GCF_001544835.2,6410646,87.09158367081884,SAMEA3731264,none,soil,none,TRUE,1,Caballeronia fortuita,6878,4,54,6888,19,55,99.94,0.11
Caballeronia glebae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,28,4915896,62.6842696388514,7842312,RS_GCF_001545035.1,6819454,86.9571881353356,SAMEA3731269,none,soil,none,TRUE,1,Caballeronia glebae,7304,5,53,7341,19,53,99.66,0.13
Caballeronia grimmiae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,10,29,40,4224828,63.01668138110148,6704301,RS_GCF_000698555.1,5815159,86.73773746136995,SAMN02671719,none,a xerophilous moss,none,TRUE,1,Caballeronia grimmiae,6238,5,53,6258,20,53,99.99,0.11
Caballeronia hypogeia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,5266176,63.194584695493525,8333271,RS_GCF_001544875.2,7298951,87.58806715874235,SAMEA3731266,none,soil,none,TRUE,1,Caballeronia hypogeia,7664,3,55,7629,19,55,99.9,1.38
Caballeronia jiangsuensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,30,45,5386572,62.55416149453499,8611053,GB_GCA_000648925.1,7509989,87.21336403341148,SAMN02671694,none,soil,none,TRUE,0,Caballeronia jiangsuensis,none,3,55,7948,19,58,99.95,1.34
Caballeronia megalochromosomata,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,20,27.5,37,5962535,62.72606894851106,9505673,GB_GCA_001580565.1,8227819,86.55693289680805,SAMN02947773,South Korea: Seoul,grassland soil,none,TRUE,1,Caballeronia megalochromosomata,none,7,57,8712,19,57,100,4.45
Caballeronia mineralivorans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,10,25,30,5631541,60.11305848083243,9368249,RS_GCF_001028175.1,8006543,85.4646690112528,SAMN03768919,France: Morvan,soil,47.18 N 4.5 E,TRUE,1,Caballeronia mineralivorans PML1(12),8777,4,49,8872,19,50,100,5.97
Caballeronia pedi,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,28,5755226,62.95845878494181,9141307,RS_GCF_001544915.2,8080966,88.40055366262176,SAMEA3731267,none,soil,none,TRUE,1,Caballeronia pedi,8537,3,55,8531,19,56,99.98,2.18
Caballeronia peredens,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,4245000,63.11253165104613,6726081,GB_GCA_001544595.2,5882226,87.45398695020175,SAMEA3731258,none,soil,none,TRUE,0,Caballeronia peredens,none,2,54,6215,19,56,99.98,0.06
Caballeronia ptereochthonis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,4955208,64.22987080810748,7714803,RS_GCF_001545075.1,6737046,87.32622206944234,SAMEA3731270,none,soil,none,TRUE,1,Caballeronia ptereochthonis,7106,3,57,7051,19,59,99.93,0.09
Caballeronia temeraria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,5223491,62.74073276881991,8325519,RS_GCF_001544795.2,7248458,87.06313684468199,SAMEA3731263,none,soil,none,TRUE,1,Caballeronia temeraria,7840,3,59,7872,19,59,96.93,0.17
Caballeronia turbans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,15,28,37,4639586,63.10168370042795,7352555,GB_GCA_001544655.2,6398766,87.02778829944148,SAMEA3731260,none,human,none,TRUE,0,Caballeronia turbans,none,2,58,6901,19,55,99.26,0.06
Caballeronia zhejiangensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,4,30,40,4867553,62.66793181339773,7767215,RS_GCF_000698575.1,6787548,87.3871522804506,SAMN02671701,none,a wastewater-treating system,none,TRUE,1,Caballeronia zhejiangensis,7295,7,55,7272,18,56,99.79,0.64
Caenibacillus caldisaponilyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Caenibacillus,40,55,65,1737743,51.77871901719111,3356119,RS_GCF_002003465.1,2692155,80.21631533327633,SAMD00051327,Japan:Ibaraki,none,36.20 N 140.35 E,TRUE,1,Caenibacillus caldisaponilyticus,3337,26,64,3322,19,64,98.54,0.21
Caenimonas koreensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas,10,30,35,2925156,63.508311654814584,4605942,RS_GCF_009646335.1,4290448,93.1502828303092,SAMN13175861,none,none,none,TRUE,0,Caenimonas koreensis DSM 17982,none,3,56,4195,19,57,100,0.56
Caenispirillum bisanense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Caenispirillum,15,37,47,3701186,70.23261939135041,5275453,RS_GCF_900230255.1,4741095,89.87086037919397,SAMN05421508,none,none,none,TRUE,1,Caenispirillum bisanense,4903,6,51,4950,19,51,98.48,0.06
Caldalkalibacillus thermarum,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Caldalkalibacillus,45,60,65,1511487,47.39026777691173,3189640,RS_GCF_014644735.1,2761553,86.57883021281398,SAMD00245125,none,none,none,TRUE,1,Caldalkalibacillus thermarum,none,25,88,3353,19,89,98.36,1.94
Caldalkalibacillus uzonensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Caldalkalibacillus,42,51,64,1793629,46.25488723103628,3877707,RS_GCF_030814135.1,3411707,87.98258867934065,SAMN18243380,Russia: Kamchatka; East Thermal Field of the Uzon Caldera,none,54.5 N 159.96 E,TRUE,1,Caldalkalibacillus uzonensis,none,12,79,3868,19,79,100,0.99
